"Destination","Area code","Calls","Client minutes","Sell rate","Income","Currency","Period"
"MEXICO","52",10076,18240,0.001,18.2446,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR","521",24,39,0.0023,0.08972,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR","52221290",1,1,0.0023,0.0023,"EUR","10/09/19 10/09/19"
"MEXICO CELLULAR","52221457",1,1,0.0023,0.0023,"EUR","10/05/19 10/05/19"
"MEXICO CELLULAR","52442289",2,2,0.0023,0.0046,"EUR","10/09/19 10/15/19"
"MEXICO CELLULAR","524436256",1,1,0.0023,0.0023,"EUR","10/13/19 10/13/19"
"MEXICO CELLULAR","52551033",2,2,0.0023,0.0046,"EUR","10/01/19 10/02/19"
"MEXICO CELLULAR","52561202",2,2,0.0023,0.0046,"EUR","10/03/19 10/04/19"
"MEXICO CELLULAR","52561254",2,2,0.0023,0.0046,"EUR","10/03/19 10/05/19"
"MEXICO CELLULAR","52729389",11,20,0.0023,0.04601,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR","529321400",1,1,0.0023,0.0023,"EUR","10/14/19 10/14/19"
"MEXICO CELLULAR IUSACELL","52122111",24,24,0.0058,0.13919,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521221120",1,1,0.0058,0.0058,"EUR","10/06/19 10/06/19"
"MEXICO CELLULAR IUSACELL","521221146",2,22,0.0058,0.1276,"EUR","10/01/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521221147",1,1,0.0058,0.0058,"EUR","10/11/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521221148",3,3,0.0058,0.0174,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521221149",8,8,0.0058,0.04639,"EUR","10/05/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521221150",1,1,0.0058,0.0058,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521221152",5,5,0.0058,0.02899,"EUR","10/01/19 10/09/19"
"MEXICO CELLULAR IUSACELL","521221155",1,1,0.0058,0.0058,"EUR","10/13/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521221157",4,4,0.0058,0.0232,"EUR","10/02/19 10/08/19"
"MEXICO CELLULAR IUSACELL","521221158",5,5,0.0058,0.02901,"EUR","10/03/19 10/14/19"
"MEXICO CELLULAR IUSACELL","52122116",7,7,0.0058,0.0406,"EUR","10/01/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521221172",1,1,0.0058,0.0058,"EUR","10/12/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521221173",3,3,0.0058,0.01739,"EUR","10/05/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521221175",1,1,0.0058,0.0058,"EUR","10/09/19 10/09/19"
"MEXICO CELLULAR IUSACELL","521221176",5,5,0.0058,0.02901,"EUR","10/05/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521221202",1,1,0.0058,0.0058,"EUR","10/10/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521221203",2,2,0.0058,0.0116,"EUR","10/06/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521221205",1,1,0.0058,0.0058,"EUR","10/09/19 10/09/19"
"MEXICO CELLULAR IUSACELL","521221206",1,1,0.0058,0.0058,"EUR","10/13/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521221207",6,6,0.0058,0.03482,"EUR","10/08/19 10/14/19"
"MEXICO CELLULAR IUSACELL","52122121",16,16,0.0058,0.09281,"EUR","10/03/19 10/15/19"
"MEXICO CELLULAR IUSACELL","52122122",27,29,0.0058,0.1682,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","52122123",8,8,0.0058,0.04642,"EUR","10/01/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521221283",1,1,0.0058,0.0058,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521221284",4,4,0.0058,0.0232,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521221285",4,4,0.0058,0.02319,"EUR","10/09/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521221286",1,1,0.0058,0.0058,"EUR","10/04/19 10/04/19"
"MEXICO CELLULAR IUSACELL","521222256",1,1,0.0058,0.0058,"EUR","10/12/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521222259",1,2,0.0058,0.0116,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521222262",1,2,0.0058,0.0116,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521222365",1,2,0.0058,0.0116,"EUR","10/14/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521222598",3,3,0.0058,0.0174,"EUR","10/04/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521222653",1,10,0.0058,0.058,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521222706",1,1,0.0058,0.0058,"EUR","10/11/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521222765",2,2,0.0058,0.01161,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521222786",1,1,0.0058,0.0058,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521222819",3,11,0.0058,0.0638,"EUR","10/08/19 10/10/19"
"MEXICO CELLULAR IUSACELL","5212229199",19,21,0.0058,0.12181,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521223129",1,1,0.0058,0.0058,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521223139",4,4,0.0058,0.0232,"EUR","10/08/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521223141",8,8,0.0058,0.04638,"EUR","10/13/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521225111",1,1,0.0058,0.0058,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521225118",1,1,0.0058,0.0058,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","52122512",11,11,0.0058,0.06379,"EUR","10/07/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521226107",6,6,0.0058,0.03482,"EUR","10/01/19 10/06/19"
"MEXICO CELLULAR IUSACELL","521226116",3,3,0.0058,0.0174,"EUR","10/03/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521227106",1,1,0.0058,0.0058,"EUR","10/12/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521227107",5,5,0.0058,0.02901,"EUR","10/02/19 10/06/19"
"MEXICO CELLULAR IUSACELL","521227108",1,1,0.0058,0.0058,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521227120",2,2,0.0058,0.0116,"EUR","10/04/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521228230",2,2,0.0058,0.0116,"EUR","10/01/19 10/14/19"
"MEXICO CELLULAR IUSACELL","52122824",1,2,0.0058,0.0116,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521228302",1,2,0.0058,0.0116,"EUR","10/04/19 10/04/19"
"MEXICO CELLULAR IUSACELL","52122834",3,6,0.0058,0.0348,"EUR","10/14/19 10/14/19"
"MEXICO CELLULAR IUSACELL","52122860",3,3,0.0058,0.0174,"EUR","10/11/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521228847",2,4,0.0058,0.0232,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521229339",3,3,0.0058,0.01741,"EUR","10/08/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521229773",1,1,0.0058,0.0058,"EUR","10/03/19 10/03/19"
